category,subcategory,problem,is_completed
Beginner Problems,Language Basics,CPP Setup,True
Beginner Problems,Language Basics,Cpp Basics,True
Beginner Problems,Language Basics,Java Setup,True
Beginner Problems,Language Basics,Java Basics,True
Beginner Problems,Language Basics,Java OOPs Basic,False
Beginner Problems,Language Basics,Input Output,True
Beginner Problems,Language Basics,If Else Adult Teen Problem,True
Beginner Problems,Language Basics,If ElseIf,True
Beginner Problems,Language Basics,Switch Case,True
Beginner Problems,Language Basics,Sum of first last element in array,True
Beginner Problems,Language Basics,Print X N numbers of times,True
Beginner Problems,Language Basics,Print last character of string,True
Beginner Problems,Logic Building (Patterns),Easy and Medium,True
Beginner Problems,Logic Building (Patterns),Hard,True
Beginner Problems,Patterns,Pattern 1,True
Beginner Problems,Patterns,Pattern 2,True
Beginner Problems,Patterns,Pattern 3,True
Beginner Problems,Patterns,Pattern 4,True
Beginner Problems,Patterns,Pattern 5,True
Beginner Problems,Patterns,Pattern 6,True
Beginner Problems,Patterns,Pattern 7,True
Beginner Problems,Patterns,Pattern 8,True
Beginner Problems,Patterns,Pattern 9,True
Beginner Problems,Patterns,Pattern 10,True
Beginner Problems,Patterns,Pattern 11,True
Beginner Problems,Patterns,Pattern 12,True
Beginner Problems,Patterns,Pattern 13,True
Beginner Problems,Patterns,Pattern 14,True
Beginner Problems,Patterns,Pattern 15,True
Beginner Problems,Patterns,Pattern 16,True
Beginner Problems,Patterns,Pattern 17,True
Beginner Problems,Patterns,Pattern 18,True
Beginner Problems,Patterns,Pattern 19,True
Beginner Problems,Patterns,Pattern 20,True
Beginner Problems,Patterns,Pattern 21,True
Beginner Problems,Patterns,Pattern 22,False
Beginner Problems,Time Complexity,Theory with examples,True
Beginner Problems,STL and Collections,STL,True
Beginner Problems,STL and Collections,Java Collections,False
Beginner Problems,Concept Basics,Basic Maths,False
Beginner Problems,Concept Basics,Basic Arrays,False
Beginner Problems,Concept Basics,Basic Hashing,False
Beginner Problems,Concept Basics,Basic String,False
Beginner Problems,Basic Maths,Count all digits of a number,True
Beginner Problems,Basic Maths,Count number of odd digits in a number,True
Beginner Problems,Basic Maths,Reverse a number,True
Beginner Problems,Basic Maths,Palindrome number,True
Beginner Problems,Basic Maths,Return the largest digit in a number,True
Beginner Problems,Basic Maths,Factorial of a given number,True
Beginner Problems,Basic Maths,Check if the number is armstrong,True
Beginner Problems,Basic Maths,Check for perfect number,True
Beginner Problems,Basic Maths,Check for prime number,True
Beginner Problems,Basic Maths,Count of prime numbers till N,True
Beginner Problems,Basic Maths,GCD of two numbers,True
Beginner Problems,Basic Maths,LCM of two numbers,True
Beginner Problems,Basic Maths,Divisors of a number,True
Beginner Problems,Basic Arrays,Sum of array elements,True
Beginner Problems,Basic Arrays,Count of odd numbers in array,True
Beginner Problems,Basic Arrays,Reverse an array,True
Beginner Problems,Basic Arrays,Check if the array is sorted,True
Beginner Problems,Basic Hashing,Highest occurring element in an array,True
Beginner Problems,Basic Hashing,Second highest occurring element,False
Beginner Problems,Basic Hashing,Sum of highest and lowest frequency,True
Beginner Problems,Basic Strings,Reverse a string,True
Beginner Problems,Basic Strings,Palindrome Check,True
Beginner Problems,Basic Strings,Largest odd number in a string,True
Beginner Problems,Basic Strings,Longest common prefix,True
Beginner Problems,Basic Strings,Isomorphic string,True
Beginner Problems,Basic Strings,Rotate string,True
Beginner Problems,Basic Strings,Valid Anagram,True
Beginner Problems,Basic Strings,Sort characters by frequency,True
Beginner Problems,Basic Recursion,Recursion Theory,False
Beginner Problems,Basic Recursion,Recursion Concepts with Parameters,False
Beginner Problems,Basic Recursion,Sum of first N numbers,True
Beginner Problems,Basic Recursion,Factorial of a given number,True
Beginner Problems,Basic Recursion,Sum of array elements,True
Beginner Problems,Basic Recursion,Reverse a string,True
Beginner Problems,Basic Recursion,Check if string is palindrome or not ,True
Beginner Problems,Basic Recursion,Check if a number is prime or not,True
Beginner Problems,Basic Recursion,Reverse an array,True
Beginner Problems,Basic Recursion,Check if the array is sorted,True
Beginner Problems,Basic Recursion,Sum of digits in a given number,True
Beginner Problems,Basic Recursion,Fibonacci Number,True
Sorting ,Algorithms,Selection Sort,True
Sorting ,Algorithms,Bubble Sort,True
Sorting ,Algorithms,Insertion Sorting,True
Sorting ,Algorithms,Merge Sorting,True
Sorting ,Algorithms,Quick Sorting,True
Arrays,Fundamentals,Linear Search,True
Arrays,Fundamentals,Largest Element ,True
Arrays,Fundamentals,Second Largest Element,True
Arrays,Fundamentals,Maximum Consecutive Ones,True
Arrays,Fundamentals,Left Rotate Array by One,True
Arrays,Fundamentals,Left Rotate Array by K Places,True
Arrays,Logic Building,Move Zeros to End,True
Arrays,Logic Building,Remove duplicates from sorted array,True
Arrays,Logic Building,Find missing number,True
Arrays,Logic Building,Union of two sorted arrays,True
Arrays,Logic Building,Intersection of two sorted arrays,True
Arrays,FAQs(Medium),Leaders in an Array,True
Arrays,FAQs(Medium),Print the matrix in spiral manner,True
Arrays,FAQs(Medium),Rearrange array elements by sign,True
Arrays,FAQs(Medium),Pascal's Triangle,True
Arrays,FAQs(Medium),Rotate matrix by 90 degrees,True
Arrays,FAQs(Medium),Two Sum,True
Arrays,FAQs(Medium),3 Sum,True
Arrays,FAQs(Medium),4 Sum,True
Arrays,FAQs(Medium),Sort an array of 0's 1's and 2's,True
Arrays,FAQs(Medium),Kadane's Algorithm,True
Arrays,FAQs(Hard),Majority Element-I,True
Arrays,FAQs(Hard),Majority Element-II,True
Arrays,FAQs(Hard),Find the repeating and missing number,True
Arrays,FAQs(Hard),Count Inversions,True
Arrays,FAQs(Hard),Reverse Pairs,True
Arrays,FAQs(Hard),Maximum Product Subarray in an Array,True
Arrays,FAQs(Hard),Merge two sorted arrays without extra space,True
Hashing,FAQs,Longest Consecutive Sequence in an Array,True
Hashing,FAQs,Longest subarray with sum K,True
Hashing,FAQs,Count subarrays with given sum,True
Hashing,FAQs,Count subarrays with given xor K,True
Binary Search,Fundamentals,Search X in sorted array,True
